Country Name,Country Code,Land Area (km2),Continent,Capital
Cyprus,CYP,9241,Asia,Nicosia
Czechia,CZE,77240,Europe,Prague
Côte d'Ivoire,CIV,318000,Africa,Yamoussoukro
Democratic Republic of the Congo,COD,2267050,Africa,Kinshasa
Denmark,DNK,42430,Europe,Copenhagen
Djibouti,DJI,23180,Africa,Djibouti
Dominica,DMA,750,North America,Roseau
Dominican Republic,DOM,48320,North America,Santo Domingo
Ecuador,ECU,248360,South America,Quito
Egypt,EGY,995450,Africa,Cairo
El Salvador,SLV,20720,North America,San Salvador
Equatorial Guinea,GNQ,28050,Africa,Malabo
Eritrea,ERI,101000,Africa,Asmara
Estonia,EST,42390,Europe,Tallinn
Eswatini,SWZ,17200,Africa,Mbabane
Ethiopia,ETH,1000000,Africa,Addis Ababa
Faroe Islands,FRO,1396,Europe,Tórshavn
Fiji,FJI,18270,Oceania,Suva
Finland,FIN,303890,Europe,Helsinki
France,FRA,547557,Europe,Paris
French Polynesia,PYF,3660,Oceania,Papeete
Gabon,GAB,257670,Africa,Libreville
Gambia,GMB,10120,Africa,Banjul
Georgia,GEO,69490,Asia,Tbilisi
Germany,DEU,348560,Europe,Berlin
Ghana,GHA,227540,Africa,Accra
Gibraltar,GIB,6,Europe,Gibraltar
Greece,GRC,128900,Europe,Athens
Greenland,GRL,410450,North America,Nuuk
Grenada,GRD,340,North America,Saint George's
Guam,GUM,540,Oceania,Hagåtña
Guatemala,GTM,107160,North America,Guatemala City
Guinea,GIN,245720,Africa,Conakry
Guinea-Bissau,GNB,28120,Africa,Bissau
Guyana,GUY,196850,South America,Georgetown
Haiti,HTI,27560,North America,Port-au-Prince
Honduras,HND,111890,North America,Tegucigalpa
"Hong Kong SAR, China",HKG,1110,Asia,Hong Kong
Hungary,HUN,90530,Europe,Budapest
Iceland,ISL,100250,Europe,Reykjavik
India,IND,2973190,Asia,New Delhi
Indonesia,IDN,1811570,Asia,Jakarta
Iran,IRN,1628550,Asia,Tehran
Iraq,IRQ,437370,Asia,Baghdad
Ireland,IRL,68890,Europe,Dublin
Isle of Man,IMN,570,Europe,Douglas
Israel,ISR,21640,Asia,Jerusalem
Italy,ITA,294140,Europe,Rome
Jamaica,JAM,10830,North America,Kingston
Japan,JPN,364555,Asia,Tokyo
Jordan,JOR,88780,Asia,Amman
Kazakhstan,KAZ,2699700,Asia,Astana
Kenya,KEN,569140,Africa,Nairobi
Kiribati,KIR,810,Oceania,South Tarawa
Kosovo,XKX,10887,Europe,Pristina
Kuwait,KWT,17820,Asia,Kuwait City
Kyrgyz Republic,KGZ,191800,Asia,Bishkek
Lao PDR,LAO,230800,Asia,Vientiane
Latvia,LVA,62200,Europe,Riga
Lebanon,LBN,10230,Asia,Beirut
Lesotho,LSO,30360,Africa,Maseru
Liberia,LBR,96320,Africa,Monrovia
Libya,LBY,1759540,Africa,Tripoli
Liechtenstein,LIE,160,Europe,Vaduz
Lithuania,LTU,62674,Europe,Vilnius
Luxembourg,LUX,2590,Europe,Luxembourg
"Macao SAR, China",MAC,30,Asia,Macao
Madagascar,MDG,581795,Africa,Antananarivo
Malawi,MWI,94280,Africa,Lilongwe
Malaysia,MYS,328550,Asia,Kuala Lumpur
Maldives,MDV,300,Asia,Malé
Mali,MLI,1220190,Africa,Bamako
Malta,MLT,320,Europe,Valletta
Marshall Islands,MHL,180,Oceania,Majuro
Mauritania,MRT,1030700,Africa,Nouakchott
Mauritius,MUS,2030,Africa,Port Louis
Mexico,MEX,1943950,North America,Mexico City
"Micronesia, Fed. Sts.",FSM,700,Oceania,Palikir
"Moldova, Republic of",MDA,32850,Europe,Chișinău
Monaco,MCO,2,Europe,Monaco
Mongolia,MNG,1553560,Asia,Ulaanbaatar
Montenegro,MNE,13450,Europe,Podgorica
Morocco,MAR,446300,Africa,Rabat
Mozambique,MOZ,786380,Africa,Maputo
Myanmar,MMR,653290,Asia,Naypyidaw
Namibia,NAM,823290,Africa,Windhoek
Nauru,NRU,20,Oceania,Yaren
Nepal,NPL,143350,Asia,Kathmandu
Netherlands,NLD,33670,Europe,Amsterdam
New Caledonia,NCL,18280,Oceania,Nouméa
New Zealand,NZL,263310,Oceania,Wellington
Nicaragua,NIC,119990,North America,Managua
Niger,NER,1266700,Africa,Niamey
Nigeria,NGA,910770,Africa,Abuja
North Korea,PRK,120410,Asia,Pyongyang
North Macedonia,MKD,25220,Europe,Skopje
Northern Mariana Islands,MNP,460,Oceania,Saipan
Norway,NOR,365268,Europe,Oslo
Oman,OMN,309500,Asia,Muscat
Pakistan,PAK,770880,Asia,Islamabad
Palau,PLW,460,Oceania,Ngerulmud
Palestine,PSE,6020,Asia,Ramallah
Panama,PAN,74340,North America,Panama City
Papua New Guinea,PNG,452860,Oceania,Port Moresby
Paraguay,PRY,397300,South America,Asunción
Peru,PER,1279996,South America,Lima
Philippines,PHL,298170,Asia,Manila
Poland,POL,306230,Europe,Warsaw
Portugal,PRT,91590,Europe,Lisbon
Puerto Rico,PRI,8870,North America,San Juan
Qatar,QAT,11610,Asia,Doha
Republic of the Congo,COG,341500,Africa,Brazzaville
Romania,ROU,230170,Europe,Bucharest
Russia,RUS,16376870,Europe,Moscow
Rwanda,RWA,24670,Africa,Kigali
Saint Martin (French part),MAF,53,North America,Marigot
Samoa,WSM,2830,Oceania,Apia
San Marino,SMR,60,Europe,San Marino
Sao Tome and Principe,STP,960,Africa,São Tomé
Saudi Arabia,SAU,2149690,Asia,Riyadh
Senegal,SEN,192530,Africa,Dakar
Serbia,SRB,87460,Europe,Belgrade
Seychelles,SYC,460,Africa,Victoria
Sierra Leone,SLE,72180,Africa,Freetown
Singapore,SGP,700,Asia,Singapore
Sint Maarten (Dutch part),SXM,34,North America,Philipsburg
Slovak Republic,SVK,48080,Europe,Bratislava
Slovenia,SVN,20140,Europe,Ljubljana
Solomon Islands,SLB,27990,Oceania,Honiara
Somalia,SOM,627340,Africa,Mogadishu
South Africa,ZAF,1214470,Africa,Pretoria
South Korea,KOR,97230,Asia,Seoul
South Sudan,SSD,644330,Africa,Juba
Spain,ESP,498800,Europe,Madrid
Sri Lanka,LKA,62710,Asia,Sri Jayawardenepura Kotte
St. Kitts and Nevis,KNA,260,North America,Basseterre
St. Lucia,LCA,610,North America,Castries
St. Vincent and the Grenadines,VCT,390,North America,Kingstown
Sudan,SDN,1765048,Africa,Khartoum
Suriname,SUR,156000,South America,Paramaribo
Sweden,SWE,410340,Europe,Stockholm
Switzerland,CHE,39516,Europe,Bern
Syrian Arab Republic,SYR,183630,Asia,Damascus
Tajikistan,TJK,139960,Asia,Dushanbe
Tanzania,TZA,885800,Africa,Dodoma
Thailand,THA,510890,Asia,Bangkok
Timor-Leste,TLS,14870,Asia,Dili
Togo,TGO,54390,Africa,Lomé
Tonga,TON,720,Oceania,Nukuʻalofa
Trinidad and Tobago,TTO,5130,North America,Port of Spain
Tunisia,TUN,155360,Africa,Tunis
Turkmenistan,TKM,469930,Asia,Ashgabat
Turks and Caicos Islands,TCA,950,North America,Cockburn Town
Tuvalu,TUV,30,Oceania,Funafuti
Türkiye,TUR,769630,Asia,Ankara
Uganda,UGA,199810,Africa,Kampala
Ukraine,UKR,579320,Europe,Kyiv
United Arab Emirates,ARE,83600,Asia,Abu Dhabi
United Kingdom,GBR,241930,Europe,London
United States,USA,9147420,North America,"Washington, D.C."
Uruguay,URY,175020,South America,Montevideo
Uzbekistan,UZB,425400,Asia,Tashkent
Vanuatu,VUT,12190,Oceania,Port Vila
Venezuela,VEN,882050,South America,Caracas
Vietnam,VNM,310070,Asia,Hanoi
"Virgin Islands, British",VGB,150,North America,Road Town
"Virgin Islands, U.S.",VIR,350,North America,Charlotte Amalie
Yemen,YEM,527970,Asia,Sana'a
Zambia,ZMB,743390,Africa,Lusaka
Zimbabwe,ZWE,386850,Africa,Harare
